DISTRICT,DFLCHART,D_RATING
"'001902","N","A"
"'001903","N","A"
"'001904","N","A"
"'001906","N","A"
"'001907","N","B"
"'001908","N","B"
"'001909","N","B"
"'002901","N","B"
"'003801","Y","A"
"'003902","N","A"
"'003903","N","B"
"'003904","N","B"
"'003905","N","A"
"'003906","N","B"
"'003907","N","A"
"'004901","N","B"
"'005901","N","A"
"'005902","N","A"
"'005904","N","A"
"'006902","N","A"
"'007901","N","B"
"'007902","N","A"
"'007904","N","B"
"'007905","N","B"
"'007906","N","C"
"'008901","N","C"
"'008902","N","B"
"'008903","N","B"
"'009901","N","A"
"'010901","N","C"
"'010902","N","Not Rated: Senate Bill 1365"
"'011901","N","C"
"'011902","N","C"
"'011904","N","B"
"'011905","N","B"
"'012901","N","A"
"'013801","Y","B"
"'013901","N","B"
"'013902","N","B"
"'013903","N","B"
"'013905","N","A"
"'014801","Y","C"
"'014803","Y","B"
"'014804","Y","A"
"'014901","N","B"
"'014902","N","B"
"'014903","N","B"
"'014905","N","A"
"'014906","N","C"
"'014907","N","B"
"'014908","N","B"
"'014909","N","C"
"'014910","N","A"
"'015801","Y","B"
"'015802","Y","B"
"'015805","Y","A"
"'015806","Y","C"
"'015807","Y","B"
"'015808","Y","B"
"'015809","Y","Not Rated: Senate Bill 1365"
"'015814","Y","Not Rated: Senate Bill 1365"
"'015815","Y","A"
"'015822","Y","C"
"'015825","Y","Not Rated: Senate Bill 1365"
"'015827","Y","A"
"'015828","Y","B"
"'015830","Y","B"
"'015831","Y","A"
"'015833","Y","A"
"'015834","Y","A"
"'015835","Y","A"
"'015836","Y","B"
"'015838","Y","C"
"'015839","Y","Not Rated: Senate Bill 1365"
"'015840","Y","C"
"'015841","Y","Not Rated: Senate Bill 1365"
"'015842","Y","Not Rated"
"'015843","Y","Not Rated"
"'015901","N","A"
"'015904","N","B"
"'015905","N","C"
"'015906","N","A"
"'015907","N","B"
"'015908","N","C"
"'015909","N","A"
"'015910","N","B"
"'015911","N","Not Rated: Senate Bill 1365"
"'015912","N","B"
"'015913","N","B"
"'015914","N","A"
"'015915","N","B"
"'015916","N","B"
"'015917","N","B"
"'016901","N","A"
"'016902","N","B"
"'017901","N","A"
"'018901","N","B"
"'018902","N","Not Rated: Senate Bill 1365"
"'018903","N","B"
"'018904","N","B"
"'018905","N","B"
"'018906","N","B"
"'018907","N","Not Rated: Senate Bill 1365"
"'018908","N","B"
"'019901","N","B"
"'019902","N","B"
"'019903","N","A"
"'019905","N","B"
"'019906","N","A"
"'019907","N","B"
"'019908","N","C"
"'019909","N","A"
"'019910","N","B"
"'019911","N","A"
"'019912","N","A"
"'019913","N","B"
"'019914","N","C"
"'020901","N","B"
"'020902","N","A"
"'020904","N","B"
"'020905","N","B"
"'020906","N","B"
"'020907","N","B"
"'020908","N","A"
"'020910","N","B"
"'021803","Y","C"
"'021805","Y","A"
"'021901","N","B"
"'021902","N","B"
"'022004","N","C"
"'022901","N","B"
"'022902","N","A"
"'022903","N","A"
"'023902","N","A"
"'024901","N","B"
"'025901","N","B"
"'025902","N","B"
"'025904","N","C"
"'025905","N","A"
"'025906","N","B"
"'025908","N","A"
"'025909","N","A"
"'026901","N","A"
"'026902","N","B"
"'026903","N","A"
"'027903","N","B"
"'027904","N","B"
"'028902","N","C"
"'028903","N","B"
"'028906","N","Not Rated: Senate Bill 1365"
"'029901","N","B"
"'030901","N","A"
"'030902","N","B"
"'030903","N","B"
"'030906","N","A"
"'031901","N","A"
"'031903","N","B"
"'031905","N","B"
"'031906","N","A"
"'031909","N","B"
"'031911","N","B"
"'031912","N","B"
"'031913","N","B"
"'031914","N","B"
"'031916","N","A"
"'032902","N","A"
"'033901","N","A"
"'033902","N","A"
"'033904","N","B"
"'034901","N","B"
"'034902","N","B"
"'034903","N","A"
"'034905","N","B"
"'034906","N","A"
"'034907","N","A"
"'034909","N","A"
"'035901","N","B"
"'035902","N","B"
"'035903","N","A"
"'036901","N","A"
"'036902","N","A"
"'036903","N","B"
"'037901","N","B"
"'037904","N","B"
"'037907","N","C"
"'037908","N","B"
"'037909","N","B"
"'038901","N","A"
"'039902","N","B"
"'039903","N","B"
"'039904","N","C"
"'039905","N","B"
"'040901","N","B"
"'040902","N","B"
"'041901","N","A"
"'041902","N","B"
"'042901","N","B"
"'042903","N","A"
"'042905","N","B"
"'043801","Y","A"
"'043802","Y","A"
"'043901","N","A"
"'043902","N","B"
"'043903","N","A"
"'043904","N","B"
"'043905","N","A"
"'043907","N","B"
"'043908","N","A"
"'043910","N","B"
"'043911","N","A"
"'043912","N","A"
"'043914","N","A"
"'043917","N","B"
"'043918","N","B"
"'043919","N","A"
"'044902","N","B"
"'045902","N","B"
"'045903","N","B"
"'045905","N","A"
"'046802","Y","B"
"'046901","N","B"
"'046902","N","A"
"'047901","N","A"
"'047902","N","A"
"'047903","N","A"
"'047905","N","B"
"'048901","N","B"
"'048903","N","B"
"'049901","N","B"
"'049902","N","A"
"'049903","N","B"
"'049905","N","B"
"'049906","N","B"
"'049907","N","A"
"'049908","N","A"
"'049909","N","C"
"'050901","N","Not Rated: Senate Bill 1365"
"'050902","N","B"
"'050904","N","B"
"'050909","N","C"
"'050910","N","B"
"'051901","N","B"
"'052901","N","B"
"'053001","N","A"
"'054901","N","B"
"'054902","N","B"
"'054903","N","B"
"'055901","N","B"
"'056901","N","B"
"'056902","N","A"
"'057802","Y","B"
"'057803","Y","B"
"'057804","Y","B"
"'057805","Y","B"
"'057806","Y","Not Rated: Senate Bill 1365"
"'057807","Y","B"
"'057808","Y","A"
"'057809","Y","Not Rated: Senate Bill 1365"
"'057810","Y","C"
"'057813","Y","B"
"'057814","Y","Not Rated"
"'057816","Y","B"
"'057819","Y","B"
"'057827","Y","B"
"'057828","Y","B"
"'057829","Y","C"
"'057830","Y","Not Rated: Senate Bill 1365"
"'057831","Y","B"
"'057833","Y","C"
"'057834","Y","A"
"'057835","Y","B"
"'057836","Y","A"
"'057839","Y","B"
"'057840","Y","A"
"'057841","Y","Not Rated: Senate Bill 1365"
"'057844","Y","B"
"'057845","Y","A"
"'057846","Y","B"
"'057847","Y","C"
"'057848","Y","B"
"'057850","Y","B"
"'057851","Y","B"
"'057903","N","B"
"'057904","N","C"
"'057905","N","B"
"'057906","N","B"
"'057907","N","B"
"'057909","N","B"
"'057910","N","B"
"'057911","N","A"
"'057912","N","B"
"'057913","N","B"
"'057914","N","B"
"'057916","N","B"
"'057919","N","A"
"'057922","N","A"
"'058902","N","Not Rated: Senate Bill 1365"
"'058905","N","A"
"'058906","N","B"
"'058909","N","A"
"'059901","N","C"
"'059902","N","A"
"'060902","N","B"
"'060914","N","B"
"'061802","Y","C"
"'061804","Y","B"
"'061805","Y","B"
"'061901","N","B"
"'061902","N","B"
"'061903","N","B"
"'061905","N","B"
"'061906","N","B"
"'061907","N","B"
"'061908","N","B"
"'061910","N","A"
"'061911","N","B"
"'061912","N","B"
"'061914","N","C"
"'062901","N","A"
"'062902","N","B"
"'062903","N","B"
"'062904","N","C"
"'062905","N","A"
