County Number,County Name,ESC Region Served,ESC Region PEIMS,ESC Region Geographic,District Number,District Name,District Type,NCES District ID,District Street Address,District City,District State,District Zip,District Site Street Address,District Site City,District Site State,District Site Zip,District Phone,District Fax,District Email Address,District Web Page Address,District Superintendent,District Enrollment as of Oct 2022,School Number,School Name,Instruction Type,Charter Type,AEA,Magnet Status,Residential Facility,NCES School ID,School Street Address,School City,School State,School Zip,School Site Street Address,School Site City,School Site State,School Site Zip,School Phone,School Fax,School Email Address,School Web Page Address,School Principal,Grade Range,School Enrollment as of Oct 2022,School Status,School Status Date,Update Date
'001,ANDERSON COUNTY,'07,'07,'07,'001902,CAYUGA ISD,INDEPENDENT,'4813200,P O BOX 427,CAYUGA,TX,75832-0427,17750 N US HWY 287,TENNESSEE COLONY,TX,75861,(903) 928-2102,(903) 928-2646,superintendent@cayugaisd.com,www.cayugaisd.com,DR JOE E SATTERWHITE III   ,594,'001902001,CAYUGA H S,REGULAR INSTRUCTIONAL,,N,N,N,'481320000821,P O BOX 427,CAYUGA,TX,75832-0427,17750 N US HWY 287,TENNESSEE COLONY,TX,75861,(903) 928-2294 ext:012 ,(903) 928-2239,admin1@cayugaisd.com,www.cayugaisd.com,JAY THOMPSON   ,'09-12,171,Active, ,8/8/23 5:37
'001,ANDERSON COUNTY,'07,'07,'07,'001903,ELKHART ISD,INDEPENDENT,'4818390,301 E PARKER ST,ELKHART,TX,75839-9701,301 E PARKER ST,ELKHART,TX,75839-9701,(903) 764-2952,(903) 764-2466,rglenn@elkhartisd.org,www.elkhartisd.org,DR LAMONT SMITH   ,1194,'001903001,ELKHART H S,REGULAR INSTRUCTIONAL,,N,N,N,'481839001732,301 E PARKER ST,ELKHART,TX,75839-9701,9002 S STATE HWY 19,ELKHART,TX,75839-9701,(903) 764-5161,(903) 764-2414,hneugebauer@elkhartisd.org,elkhartisd.org,MR JASON W IVES   ,'09-12,315,Active, ,8/8/23 5:37
'001,ANDERSON COUNTY,'07,'07,'07,'001904,FRANKSTON ISD,INDEPENDENT,'4819770,P O BOX 428,FRANKSTON,TX,75763-0428,100 PERRY ST,FRANKSTON,TX,75763-0428,(903) 876-2556,(903) 876-4558,fisdcontact@frankstonisd.net,www.frankstonisd.net,NICCI COOK   ,802,'001904001,FRANKSTON H S,REGULAR INSTRUCTIONAL,,N,N,N,'481977001939,P O BOX 428,FRANKSTON,TX,75763-0428,100 PERRY ST,FRANKSTON,TX,75763-0428,(903) 876-3219,(903) 876-4558,contact@frankstonisd.net,www.frankstonisd.net,EDGAR RODRIGUEZ   ,'09-12,245,Active, ,8/8/23 5:37
'001,ANDERSON COUNTY,'07,'07,'07,'001906,NECHES ISD,INDEPENDENT,'4832250,P O BOX 310,NECHES,TX,75779-0310,HWY 79 & CO RD 346,NECHES,TX,75779-0310,(903) 584-3311,(903) 584-3686,cory.hines@nechesisd.net,www.nechesisd.com,MR CORY HINES   ,310,'001906002,NECHES H S,REGULAR INSTRUCTIONAL,,N,N,N,'483225003575,P O BOX 310,NECHES,TX,75779-0310,1509 ACR 346,PALESTINE,TX,75803,(903) 584-3443,(903) 584-3686,CORY.HINES@NECHESISD.NET,www.nechesisd.com,MS LINDSEY BATCHELOR   ,'07-12,140,Active, ,8/8/23 5:37
'001,ANDERSON COUNTY,'07,'07,'07,'001907,PALESTINE ISD,INDEPENDENT,'4834050,1007 E PARK AVE,PALESTINE,TX,75801,1007 E PARK AVE,PALESTINE,TX,75801,(903) 731-8000,(877) 766-4983,ledge@palestineschools.org,www.palestineschools.org,MR JASON L MARSHALL   ,3297,'001907001,PALESTINE H S,REGULAR INSTRUCTIONAL,,N,N,N,'483405003788,1600 S LOOP 256,PALESTINE,TX,75801-5898,1600 S LOOP 256,PALESTINE,TX,75801-5898,(903) 731-8005,(877) 839-6489,wstewart@palestineschools.org,www.palestineschools.org,MRS TOSCHA REEVES   ,'09-12,998,Active, ,8/8/23 5:37
'001,ANDERSON COUNTY,'07,'07,'07,'001908,WESTWOOD ISD,INDEPENDENT,'4843290,4524 W OAK,PALESTINE,TX,75801-0260,4524 W OAK,PALESTINE,TX,75801-5453,(903) 729-1776,(903) 729-3696,wstanford@westwoodisd.net,www.westwoodisd.net,MR WADE STANFORD   ,1414,'001908002,WESTWOOD H S,REGULAR INSTRUCTIONAL,,N,N,N,'484329004915,4524 W OAK,PALESTINE,TX,75801-0260,1820 PANTHER BLVD,PALESTINE,TX,75803-8483,(903) 729-1773,(903) 723-8695,ssnettles@westwoodisd.net,www.westwoodisd.net,MR SCOTT NETTLES   ,'09-12,438,Active, ,8/8/23 5:37
'001,ANDERSON COUNTY,'07,'07,'07,'001909,SLOCUM ISD,INDEPENDENT,'4840500,5765 E STATE HWY 294,ELKHART,TX,75839-9802,5765 E STATE HWY 294,ELKHART,TX,75839-9802,(903) 478-3624,(903) 478-3030,clasiter@slocumisd.org,www.slocumisd.org/,MR CLIFF LASITER   ,349,'001909001,SLOCUM H S,REGULAR INSTRUCTIONAL,,N,N,N,'484050004585,5765 E STATE HWY 294,ELKHART,TX,75839-9802,5765 E STATE HWY 294,ELKHART,TX,75839-9802,(903) 478-3624,(903) 478-3030,clasiter@slocumisd.org,,ERRIN DEER   ,'09-12,93,Active, ,8/8/23 5:37
'002,ANDREWS COUNTY,'18,'18,'18,'002901,ANDREWS ISD,INDEPENDENT,'4808280,405 NW 3RD ST,ANDREWS,TX,79714-5098,405 NW 3RD ST,ANDREWS,TX,79714-5098,(432) 523-3640 ext:1756,(432) 523-3343,bazam@andrews.esc18.net,www.andrews.esc18.net,DR BOBBY AZAM   ,4198,'002901001,ANDREWS H S,REGULAR INSTRUCTIONAL,,N,N,N,'480828000194,405 NW 3RD ST,ANDREWS,TX,79714-5098,1400 NW AVE K,ANDREWS,TX,79714-3860,(432) 523-3640 ext:2122,(432) 523-6807,jcarranco@andrews.esc18.net,www.andrews.esc18.net,MR ROBERT WEBB   ,'09-12,1161,Active, ,8/8/23 5:37
'003,ANGELINA COUNTY,'07,'05,'07,'003801,PINEYWOODS COMMUNITY ACADEMY,CHARTER,'4800074,602 S RAGUET,LUFKIN,TX,75904,602 S RAGUET,LUFKIN,TX,75904,(936) 634-5515,(936) 634-5518,MGUNTER@pcacharter.net,www.pineywoodsacademy.org,MONICA GUNTER   ,997,'003801001,PINEYWOODS COMMUNITY ACADEMY H S,REGULAR INSTRUCTIONAL,OPEN ENROLLMENT CHARTER,N,N,N,'480007408093,601 S RAGUET,LUFKIN,TX,75904,601 S RAGUET,LUFKIN,TX,75904,(936) 634-5515,(936) 634-5518,lcoleman@pcacharter.net,pcacharter.net/,LACEY COLEMAN   ,'09-12,257,Active,6/8/00,8/8/23 5:37
'003,ANGELINA COUNTY,'07,'07,'07,'003902,HUDSON ISD,INDEPENDENT,'4823790,6735 TED TROUT DR,LUFKIN,TX,75904-6641,STATE HWY 94 W,LUFKIN,TX,75904-6641,(936) 875-3351,(936) 875-9209,webbdon@hudsonisd.org,www.hudsonisd.org,MR DONALD WEBB   ,2768,'003902001,HUDSON H S,REGULAR INSTRUCTIONAL,,N,N,N,'482379002631,6735 TED TROUT DR,LUFKIN,TX,75904-6641,6735 TED TROUT DR,LUFKIN,TX,75904-6641,(936) 875-9232,(936) 875-9307,crenshawrl@hudsonisd.org,www.hudsonisd.org,MR RICHARD CRENSHAW   ,'09-12,797,Active, ,8/8/23 5:37
'003,ANGELINA COUNTY,'07,'07,'07,'003903,LUFKIN ISD,INDEPENDENT,'4828550,P O BOX 1407,LUFKIN,TX,75902-1407,101 COTTON SQ,LUFKIN,TX,75904,(936) 634-6696,(936) 634-8864,jmcguire@lufkinisd.org,www.lufkinisd.org/,LYNN TORRES   ,7164,'003903001,LUFKIN H S,REGULAR INSTRUCTIONAL,,N,N,N,'482855007762,309 MEDFORD DR,LUFKIN,TX,75901-5217,309 MEDFORD DR,LUFKIN,TX,75901-5217,(936) 632-7721,(936) 632-8132,aemmons@lufkinisd.org,www.lufkinisd.org,DR ANDRE EMMONS   MR HARLAN NEAL   MRS JULIE MCMANUS   ,'09-12,2135,Active,7/1/90,8/8/23 5:37
