CHARTER NAME,CDN,TYPE,RECEIVED DATE,DECISION DATE,STATUS,AMENDMENT #,ITEM #,DESCRIPTION,EFFECTIVE DATE,SUBCHAPTER E
A+ UNLIMITED POTENTIAL,'101871,ADDITIONAL SITE/CAMPUS REQUEST,2023-03-01,4/10/2023,Approved,080-23,1.0,"add a campus to be called A+UP High School to be located at 2410 Hamilton Street, Houston, Texas 77004, to serve students in grades nine (9) through twelve (12), effective August 1, 2024",8/ 1/2024,No
A+ UNLIMITED POTENTIAL,'101871,GRADE LEVEL CHANGE,2023-03-01,4/10/2023,Approved,080-23,2.0,"add grades nine (9) through twelve (12) to the charter school’s approved grade levels, effective August 1, 2024",8/ 1/2024,No
ACADEMY OF HOUSTON,'101808,NEW SCHOOL OR HIGH QUALITY ,2023-02-02,,Process,036-23,1.0,,,No
ACADEMY OF VISUAL AND PERFORMING ,'220821,CHARTER LANGUAGE,2023-01-11,1/25/2023,Approved,004-23,1.0,"requests to amend its charter to adopt the provisions of Texas Education Code  Chapter 44, Subchapter B, as the charter holder’s process for awarding a contract for the construction, repair, or renovation of a structure, road, highway, or other improvement or addition to real property, effective January 10, 2023",1/10/2023,No
ADVANTAGE ACADEMY,'057806,OTHER,2023-02-06,,Withdrawn,030-23,1.0,"decrease the number of school days per week from five (5) to four (4), effective August 1, 2023",8/ 1/2023,No
ARISTOI CLASSICAL ACADEMY,'101803,START DATE CHANGE - CAMPUS,2023-03-07,4/10/2023,Approved,088-23,1.0,"postpone opening the previously-approved campus Aristoi Classical Academy - Greater Houston (amendments #041-21/1 and #075-22/1) from the 2023-2024 school year to the 2024-2025 school year, effective March 6, 2023",3/ 6/2023,No
AUSTIN ACHIEVE PUBLIC SCHOOLS,'227825,ADDRESS CHANGE - CAMPUS - ,2023-02-15,3/23/2023,Approved,044-23,2.0,"relocate campus #227-8258-005, Austin Achieve Parmer, from 7424 East Highway 290, Building 1, Austin, Texas 78723 to 1900 Pfennig Lane, Pflugerville, Texas 78660, effective July 1, 2023",7/ 1/2023,No
AUSTIN ACHIEVE PUBLIC SCHOOLS,'227825,NAME CHANGE - CAMPUS,2023-02-15,3/23/2023,Approved,044-23,3.0,"change the name of campus #227-825-005 from Austin Achieve Parmer to Austin Achieve Pflugerville Elementary, effective July 1, 2023",7/ 1/2023,No
AUSTIN ACHIEVE PUBLIC SCHOOLS,'227825,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-27,3/20/2023,Denied,066-23,1.0,"add a campus to be called Austin Achieve Pflugerville Middle, to be located at 1900 East Pfennig Lane, Pflugerville, TX 78660, to serve students in grades five (5) through eight (8), effective July 1, 2023",7/ 1/2023,No
AUSTIN ACHIEVE PUBLIC SCHOOLS,'227825,NAME CHANGE - CAMPUS,2023-02-15,3/23/2023,Approved,044-23,1.0,"change the name of campus #227-825-003 from Austin Achieve Elementary School to Austin Achieve Northeast Elementary, effective July 1, 2023",7/ 1/2023,No
BASIS TEXAS,'015834,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-24,3/15/2023,Approved,062-23,1.0,"to add a campus to be called Basis Leander Primary, to be located at a location to be determined, in Leander, Texas, to serve students in Kindergarten through grade five (5), effective July 1, 2024",7/ 1/2023,No
BASIS TEXAS,'015834,START DATE CHANGE - CAMPUS,2023-05-22,5/31/2023,Approved,122-23,2.0,"postpone opening the previously-approved campus to be located in the Irving area (#002-22.6), to serve students in kindergarten through five (5), from July 1, 2024 to July 1, 2025, effective May 22, 2023",7/ 1/2025,No
BASIS TEXAS,'015834,NEW SCHOOL OR HIGH QUALITY ,2023-02-24,3/15/2023,Approved,063-23,1.0,"establish for purposes of High-Quality Campus Designation, in accordance with 19 TAC §100.1033(b)(13), a new charter school campus under the school’s existing open-enrollment charter, Basis Leander Primary, to be located at an address to be determined in Leander, Texas, to serve students Kindergarten through grade five (5), to be paired with expansion amendment #062-23.1, effective July 1, 2024",7/ 1/2023,No
BASIS TEXAS,'015834,OTHER,2023-05-23,5/31/2023,Approved,123-23,1.0,"requests approval of the services agreement contract between BASIS Texas Charter Schools, Inc. and Basis Educational Group, LLC (d/b/a Basis,Ed) effective May 22, 2023",5/22/2023,No
BASIS TEXAS,'015834,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-24,3/15/2023,Approved,062-23,2.0,"to add a campus to be called Basis Leander, to be located at a location to be determined, in Leander, Texas to serve students in grades six (6) through twelve (12), effective July 1, 2024",7/ 1/2023,No
BASIS TEXAS,'015834,NEW SCHOOL OR HIGH QUALITY ,2023-02-24,3/15/2023,Approved,063-23,2.0,"establish for purposes of High-Quality Campus Designation, in accordance with 19 TAC §100.1033(b)(13), a new charter school campus under the school’s existing open-enrollment charter, Basis Leander, to be located at an address to be determined in Leander, Texas, to serve students in grades six (6) through twelve (12), to be paired with expansion amendment #062-23.2, effective July 1, 2024",7/ 1/2023,No
BASIS TEXAS,'015834,START DATE CHANGE - CAMPUS,2023-05-22,5/31/2023,Approved,122-23,1.0,"postpone opening the previously-approved campus to be located in the Irving area (#002-22.5), to serve students in grades six (6) through twelve (12), from July 1, 2024 to July 1, 2025, effective May 22, 2023",5/22/2023,No
BETTY M. CONDRA SCHOOL FOR EDUCATION ,'152806,NAME CHANGE - CAMPUS,2023-02-06,2/22/2023,Approved,031-23,2.0,"change the name of campus #152-806-001 from Elementary School for Education Innovation to Betty M. Condra School for Education Innovation, effective January 27, 2023",1/27/2023,No
BETTY M. CONDRA SCHOOL FOR EDUCATION ,'152806,ADDRESS CHANGE - CAMPUS - ,2023-02-06,2/22/2023,Approved,031-23,1.0,"relocate campus #152-806-001, Elementary School for Education Innovation, from 1500 14th Street, Lubbock, Texas 79401 to 1421 9th Street, Lubbock, Texas 79401, effective January 27, 2023",1/27/2023,No
BOB HOPE SCHOOL,'123807,CURRICULAR RELATED,2023-04-20,4/26/2023,Approved,105-23,1.0,"revise the charter school’s education plan to remove dual language instruction in middle school and high school grades, effective July 1, 2023",7/ 1/2023,No
BOB HOPE SCHOOL,'123807,GEOGRAPHIC BOUNDARY - ADD,2023-01-23,2/22/2023,Approved,011-23,1.0,"add La Porte ISD to the charter school’s geographic area effective March 1, 2023",3/ 1/2023,No
BRIDGEWAY PREPARATORY ACADEMY,'057851,GRADE LEVEL CHANGE,2023-02-27,4/10/2023,Approved,065-23,1.0,"add grades six (6) through eight (8) to the charter school’s approved grade levels, effective July 1, 2023",7/ 1/2023,No
BRILLANTE ACADEMY,'108810,OTHER,2023-05-25,5/31/2023,Approved,124-23,1.0,increase the school's prekindergarten four-year-olds (PreK4) program from half-day to full-day,8/14/2023,No
BRILLANTE ACADEMY,'108810,GRADE LEVEL CHANGE,2023-03-01,5/31/2023,Approved,082-23,1.0,"add prekindergarten three-year-olds (Early Education) to the charter school’s approved grade levels, effective August 14, 2023",8/14/2023,No
CEDARS INTERNATIONAL ACADEMY,'227817,GEOGRAPHIC BOUNDARY - ADD,2023-06-22,6/30/2023,Approved,142-23,1.0,"add Smithville ISD to the charter school’s geographic area effective April 1, 2023",4/ 1/2023,No
CHAPEL HILL ACADEMY,'220815,CLOSE CAMPUS - RETURN SITE,2023-07-20,7/20/2023,Approved,151-23,1.0,Site closed per school's 2023 renewal contract.-jsk,7/20/2023,No
CHAPEL HILL ACADEMY,'220815,CLOSE CAMPUS - RETURN SITE,2023-07-20,7/20/2023,Approved,151-23,2.0,Site closed per school's 2023 renewal contract.-jsk,7/20/2023,No
COMPASS ROSE PUBLIC SCHOOLS,'015838,START DATE CHANGE - CAMPUS,2023-08-01,,Process,160-23,2.0,"postpone opening the previously-approved campus Compass Rose Venture to be located in the Del Valley/Montopolis area from the 2023-2024 school year to the 2024-2025 school year, effective August 1, 2024",8/ 1/2024,No
COMPASS ROSE PUBLIC SCHOOLS,'015838,START DATE CHANGE - CAMPUS,2023-08-01,,Process,160-23,1.0,"postpone opening the previously-approved campus Compass Rose Opportunity to be located at or around 705 Hammond Road, San Antonio, Texas 78210 from the 2023-2024 school year to the 2024-2025 school year, effective August 1, 2024",8/ 1/2024,No
COMQUEST ACADEMY,'101842,CLOSE CAMPUS - RETURN SITE,2023-07-21,7/21/2023,Approved,152-23,1.0,Site closed through 2023 renewal contract-jsk,7/21/2023,No
COMQUEST ACADEMY,'101842,CLOSE CAMPUS - RETURN SITE,2023-07-21,7/21/2023,Approved,152-23,2.0,Site closed through 2023 renewal contract - jsk,7/21/2023,No
EHRHART SCHOOL,'123805,GRADE LEVEL CHANGE,2023-02-28,4/ 5/2023,Approved,071-23,1.0,"to add grades nine (9) through twelve (12) to the charter school’s approved grade levels, effective August 1, 2024",8/ 1/2024,No
