DISTRICT,DISTNAME,DPSTEXPA,DPSTKIDR,DPSTTENA,DPSTURNR
"'001902","CAYUGA ISD",16.7,12.3,9.9,19.1
"'001903","ELKHART ISD",13.5,11,7.6,13.9
"'001904","FRANKSTON ISD",12.8,10.8,5.1,21.6
"'001906","NECHES ISD",14.8,11.3,7.8,18.3
"'001907","PALESTINE ISD",12.7,12.9,7,17.9
"'001908","WESTWOOD ISD",10.3,11,3.6,30.6
"'001909","SLOCUM ISD",15.4,9.3,9.1,14.6
"'002901","ANDREWS ISD",13.8,14.4,7.3,11.5
"'003801","PINEYWOODS COMMUNITY ACADEMY",10.2,14.8,4.1,17
"'003902","HUDSON ISD",13.8,13.2,8.4,9.5
"'003903","LUFKIN ISD",11.5,12.3,8,16.4
"'003904","HUNTINGTON ISD",12.6,13,7.5,21.3
"'003905","DIBOLL ISD",11.9,12.7,7,16.5
"'003906","ZAVALLA ISD",15.1,9.3,7,21.2
"'003907","CENTRAL ISD",10.4,12.3,5.8,17.2
"'004901","ARANSAS COUNTY ISD",12.3,14.5,7.4,25.2
"'005901","ARCHER CITY ISD",14.8,10.4,9.5,13.2
"'005902","HOLLIDAY ISD",15.8,13.8,8.4,2.5
"'005904","WINDTHORST ISD",16.5,14.6,10.6,8.2
"'006902","CLAUDE ISD",13.7,10.3,7.6,26.4
"'007901","CHARLOTTE ISD",11.7,8.4,5.7,20.5
"'007902","JOURDANTON ISD",12.7,13.5,4.7,17
"'007904","LYTLE ISD",11.4,13.8,6.9,22
"'007905","PLEASANTON ISD",10.9,13.9,7.5,16.1
"'007906","POTEET ISD",10.8,13.4,5.3,18.7
"'008901","BELLVILLE ISD",13.3,13,7.4,21.5
"'008902","SEALY ISD",11,13.8,7.2,14.6
"'008903","BRAZOS ISD",13.5,12.8,6.4,31
"'009901","MULESHOE ISD",11.3,11.6,5.6,17.6
"'010901","MEDINA ISD",12.4,7,4.3,26.9
"'010902","BANDERA ISD",11.7,15.2,6,21.8
"'011901","BASTROP ISD",10.5,16.4,6,23.1
"'011902","ELGIN ISD",7.6,15.8,3.6,26.5
"'011904","SMITHVILLE ISD",11.7,13.9,7.2,22.4
"'011905","MCDADE ISD",10.4,10.1,4.4,40.4
"'012901","SEYMOUR ISD",14.5,11.7,8.9,5.9
"'013801","ST MARY'S ACADEMY CHARTER SCHOOL",13.5,16.5,6.4,20.2
"'013901","BEEVILLE ISD",10.1,15.7,7.1,22.7
"'013902","PAWNEE ISD",3.7,21.2,1.4,39.5
"'013903","PETTUS ISD",11.3,11.2,4.1,16.2
"'013905","SKIDMORE-TYNAN ISD",13.1,11.6,7.2,19.5
"'014801","RICHARD MILBURN ALTER HIGH SCHOOL - KILLEEN",10.5,24.9,3.7,25.3
"'014803","PRIORITY CHARTER SCHOOLS",9.4,13.2,2.7,37
"'014804","ORENDA CHARTER SCHOOL",9.4,17.2,3.3,25.8
"'014901","ACADEMY ISD",8.8,13.6,4.6,24.6
"'014902","BARTLETT ISD",16.4,11.9,3.8,32
"'014903","BELTON ISD",10.3,14.2,5.5,15.5
"'014905","HOLLAND ISD",16.3,10.7,9.3,12.3
"'014906","KILLEEN ISD",10.1,16.7,8,18.6
"'014907","ROGERS ISD",13,12.1,6.2,9.1
"'014908","SALADO ISD",13.5,14.8,5.8,20
"'014909","TEMPLE ISD",9.9,14,5.7,22.8
"'014910","TROY ISD",13.1,14.4,5.8,21.7
"'015801","POR VIDA ACADEMY",9.3,8.4,6.4,22.2
"'015802","GEORGE GERVIN ACADEMY",1.6,16.5,1.2,64.9
"'015805","NEW FRONTIERS PUBLIC SCHOOLS INC",6.5,16.2,4,80
"'015806","LEGACY TRADITIONAL SCHOOLS - TEXAS",7.9,10.8,3.4,46.7
"'015807","SOUTHWEST PREPARATORY SCHOOL",6.8,10.9,4,22.7
"'015808","INSPIRE ACADEMIES",9.8,15.7,3.3,32.9
"'015809","BEXAR COUNTY ACADEMY",8.2,13.2,2.6,66.5
"'015814","POSITIVE SOLUTIONS CHARTER SCHOOL",20.2,11.5,4.6,44.7
"'015815","HERITAGE ACADEMY",9.2,11.6,3.8,21.9
"'015822","JUBILEE ACADEMIES",2.2,17.2,2,41
"'015825","LIGHTHOUSE PUBLIC SCHOOLS",5.3,17.2,2.1,31.6
"'015827","SCHOOL OF SCIENCE AND TECHNOLOGY",5.1,14,1.7,26.5
"'015828","HARMONY PUBLIC SCHOOLS - SOUTH TEXAS",6.6,12.5,3.9,11.8
"'015830","BROOKS ACADEMIES OF TEXAS",5.9,16.3,1.8,32
"'015831","SCHOOL OF SCIENCE AND TECHNOLOGY DISCOVERY",4.2,14.5,2.1,22.5
"'015833","HENRY FORD ACADEMY ALAMEDA SCHOOL FOR ART + DESIGN",3.1,13.7,3.1,33.3
"'015834","BASIS TEXAS",.,.,.,.
"'015835","GREAT HEARTS TEXAS",2.5,17.6,1.5,33.1
"'015836","ELEANOR KOLITZ HEBREW LANGUAGE ACADEMY",5.6,14.4,2.7,20.6
"'015838","COMPASS ROSE PUBLIC SCHOOLS",1,16.1,0.3,31
"'015839","PROMESA ACADEMY CHARTER SCHOOL",5.8,9.7,1,40
"'015840","SAN ANTONIO PREPARATORY SCHOOLS",1.2,17.8,0,81.2
"'015841","THE GATHERING PLACE",4.5,17.4,0.3,66.1
"'015842","ROYAL PUBLIC SCHOOLS",0,7.1,0,.
"'015843","PRELUDE PREPARATORY CHARTER SCHOOL",0.8,5.2,0,.
"'015901","ALAMO HEIGHTS ISD",13.8,13.5,7.1,19.4
"'015904","HARLANDALE ISD",10.4,13.2,8.1,16.6
"'015905","EDGEWOOD ISD",10.2,15.9,7.5,23.7
"'015906","RANDOLPH FIELD ISD",13.6,14.4,6.5,25.7
"'015907","SAN ANTONIO ISD",8.8,14.5,6.5,19.1
"'015908","SOUTH SAN ANTONIO ISD",10.9,14.6,8.3,14.3
"'015909","SOMERSET ISD",10.6,15.3,6.6,18.5
"'015910","NORTH EAST ISD",10.5,14.9,7.8,14.4
"'015911","EAST CENTRAL ISD",9.3,17,5.5,22.6
"'015912","SOUTHWEST ISD",11.2,13.5,7.4,12.6
"'015913","LACKLAND ISD",14.2,10.1,8.1,10.1
"'015914","FT SAM HOUSTON ISD",13.2,12,6.7,11.6
"'015915","NORTHSIDE ISD",11.8,15,8.9,12.9
"'015916","JUDSON ISD",10.7,14.9,6.5,17.4
"'015917","SOUTHSIDE ISD",10.5,14.2,5.9,16.4
"'016901","JOHNSON CITY ISD",17.1,11.8,7.4,12.9
"'016902","BLANCO ISD",15.4,13.5,8.8,15
"'017901","BORDEN COUNTY ISD",17.6,10.5,6.6,4.1
"'018901","CLIFTON ISD",15,12.6,7.3,21.6
"'018902","MERIDIAN ISD",13,8.8,5.5,22.6
"'018903","MORGAN ISD",6.6,9,3.6,26.1
"'018904","VALLEY MILLS ISD",12.7,11.1,5.2,32.5
"'018905","WALNUT SPRINGS ISD",17.8,8.4,4.4,13.2
"'018906","IREDELL ISD",12,7.8,7.9,17.6
"'018907","KOPPERL ISD",13.6,10.2,5.7,19
"'018908","CRANFILLS GAP ISD",14.4,8.5,5.4,34.3
"'019901","DEKALB ISD",12.3,10.9,7,18.6
"'019902","HOOKS ISD",15.1,12.1,9.2,13.3
"'019903","MAUD ISD",14.1,12,7.6,23.8
"'019905","NEW BOSTON ISD",15.2,9.8,7.5,22.8
"'019906","REDWATER ISD",11.2,10.9,6.2,19.9
"'019907","TEXARKANA ISD",11.6,13,6.6,16.9
"'019908","LIBERTY-EYLAU ISD",13,10.8,7.2,27
"'019909","SIMMS ISD",15.9,9.7,7.9,11.1
"'019910","MALTA ISD",13,11.5,6.9,33.1
"'019911","RED LICK ISD",14.8,12.5,5.3,25
"'019912","PLEASANT GROVE ISD",12,13.1,6.6,18.3
"'019913","HUBBARD ISD",7.8,7.1,3.1,20.6
