DISTRICT,PGM_OF_STUDY CODE,PGM_OF_STUDY EXPLANATION,concentrator_only,completer_only,,
001902,001,ACCOUNTING AND FINANCIAL SERVICES,      10,       0,,
001902,003,AGRIBUSINESS,       6,       0,,
001902,004,ANIMAL SCIENCE,       8,.,,
001902,005,APPLIED AGRICULTURAL ENGINEERING,      29,      20,,
001902,011,BUSINESS MANAGEMENT,      33,       0,,
001902,015,CYBERSECURITY,.,       0,,
001902,017,DIGITAL COMMUNICATIONS,.,       0,,
001902,019,EARLY LEARNING,.,       0,,
001902,021,EMERGENCY SERVICES,.,       0,,
001902,023,ENTREPRENEURSHIP,      10,       0,,
001902,024,ENVIRONMENTAL AND NATURAL RESOURCES,       6,       0,,
001902,026,FAMILY AND COMMUNITY SERVICES,      67,       0,,
001902,027,FOOD AND SCIENCE TECHNOLOGY,       6,       0,,
001902,030,HEALTH AND WELLNESS,      64,       0,,
001902,031,HEALTH INFORMATICS,.,       0,,
001902,032,HEALTHCARE DIAGNOSTICS,.,       0, ,
001902,033,HEALTHCARE THERAPEUTIC,.,       0,,
001902,043,NURSING SCIENCE,.,       0,,
001902,045,PLANT SCIENCE,       7,       0,,
001902,047,PROGRAMMING AND SOFTWARE DEVELOPMENT,.,       0,,
001902,050,TEACHING AND TRAINING,      41,      29,, 
001902,052,WEB DEVELOPMENT,.,       0,,
001902,059,MEDICAL THERAPY,.,       0,,
001903,001,ACCOUNTING AND FINANCIAL SERVICES,      20,.,,
001903,002,ADVANCED MANUFACTURING AND MACHINERY MECHANICS,.,       0,,
001903,003,AGRIBUSINESS,      16,      13,,
001903,004,ANIMAL SCIENCE,      41,       6,,
001903,005,APPLIED AGRICULTURAL ENGINEERING,      53,.,,
001903,011,BUSINESS MANAGEMENT,      27,.,,
001903,012,CARPENTRY,       6,       0,,
001903,017,DIGITAL COMMUNICATIONS,      15,       0,,
001903,019,EARLY LEARNING,       5,       0,,
001903,020,ELECTRICAL,       6,       0,,
001903,021,EMERGENCY SERVICES,.,       0,,
001903,023,ENTREPRENEURSHIP,       6,       0,,
001903,025,EXERCISE SCIENCE AND WELLNESS,.,       0,,
001903,026,FAMILY AND COMMUNITY SERVICES,      15,.,,
001903,029,GRAPHIC DESIGN AND MULTIMEDIA ARTS,       7,.,,
001903,030,HEALTH AND WELLNESS,.,       0,,
001903,031,HEALTH INFORMATICS,      19,       0,,
001903,032,HEALTHCARE DIAGNOSTICS,      15,       8,,
001903,033,HEALTHCARE THERAPEUTIC,      15,       8,,
001903,034,HVAC AND SHEET METAL,       6,       0,,
001903,036,LAW ENFORCEMENT,.,       0,,
001903,037,LEGAL STUDIES,.,       0,,
