CHARTER NAME,CDN,TYPE,RECEIVED DATE,DECISION DATE,STATUS,AMENDMENT #,ITEM #,DESCRIPTION,EFFECTIVE DATE,SUBCHAPTER E
A+ UNLIMITED POTENTIAL,'101871,ADDITIONAL SITE/CAMPUS REQUEST,2023-03-01,4/10/2023,Approved,080-23,1.0,"add a campus to be called A+UP High School to be located at 2410 Hamilton Street, Houston, Texas 77004, to serve students in grades nine (9) through twelve (12), effective August 1, 2024",8/ 1/2024,No
BASIS TEXAS,'015834,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-24,3/15/2023,Approved,062-23,1.0,"to add a campus to be called Basis Leander Primary, to be located at a location to be determined, in Leander, Texas, to serve students in Kindergarten through grade five (5), effective July 1, 2024",7/ 1/2023,No
BASIS TEXAS,'015834,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-24,3/15/2023,Approved,062-23,2.0,"to add a campus to be called Basis Leander, to be located at a location to be determined, in Leander, Texas to serve students in grades six (6) through twelve (12), effective July 1, 2024",7/ 1/2023,No
ETOILE ACADEMY CHARTER SCHOOL,'101872,ADDITIONAL SITE/CAMPUS REQUEST,2023-02-27,3/29/2023,Approved,069-23,1.0,"add a campus to be called Etoile Academy Charter School (Beechnut), to be located at 9724 Beechnut, Houston, Texas, to serve students in Kindergarten through grade eight (8), effective August 1, 2024; and",8/ 1/2024,No
HARMONY PUBLIC SCHOOLS - CENTRAL TEXAS,'227816,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-31,2/22/2023,Approved,023-23,1.0,"add a campus to be named Harmony Science Academy- Georgetown, location to be determined, to serve students in Pre-Kindergarten four-year olds through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - HOUSTON NORTH,'101858,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-31,2/23/2023,Approved,028-23,2.0,"add a campus to be called Harmony Science Academy - City Place, to be located at an address to be determined in City Place, Texas, to serve students in Pre-Kindergarten four-year olds through grade twelve (12), effective August 1, 2023",8/ 1/2023,No
HARMONY PUBLIC SCHOOLS - WEST TEXAS,'071806,ADDITIONAL SITE/CAMPUS REQUEST,2023-05-01,5/12/2023,Approved,108-23,1.0,"add a campus to be named Harmony Science Academy- Midland in Midland, Texas, location to be determined, to serve students in Pre-Kindergarten four-year olds through grade twelve (12), effective August 1, 2024",8/ 1/2024,No
INSPIRE ACADEMIES,'015808,ADDITIONAL SITE/CAMPUS REQUEST,2023-06-02,6/30/2023,Approved,127-23,1.0,"add a campus to be called Innova Joy Inspire Academy to be located at 319 Los Indios Ranch Road, Boerne 78006, to serve students in grades six (6) through twelve (12), effective August 1, 2023",8/ 1/2023,No
INSPIRE ACADEMIES,'015808,ADDITIONAL SITE/CAMPUS REQUEST,2023-06-02,6/30/2023,Approved,127-23,2.0,"add a campus to be called Innova Mercy Inspire Academy to be located at 215 Kessler Street, New Braunfels 78130, to serve students in grades six (6) through twelve (12), effective August 1, 2023",8/ 1/2023,No
INSPIRE ACADEMIES,'015808,ADDITIONAL SITE/CAMPUS REQUEST,2023-01-01,3/28/2023,Approved,092-23,1.0,"add a campus to be called Robert J. Werra Inspire Academy to be located at the southeast corner of I-75 and FM 1417, Sherman, Texas 75090, to serve students in grades K through 12, effective August 1, 2024",8/ 1/2024,No
